,week,owner_team_name,owner,score,win,opp_owner_team_name,opp_owner,opp_score
0,1,Sticky Icky,T-$,166.6,1,Happy Rock Homewreckers,Blainer,139.2
1,1,Happy Rock Homewreckers,Blainer,139.2,0,Sticky Icky,T-$,166.6
2,1,Bench Don't Kill My Vibe,Padge,190.0,1,Bud Lathrop Drive,Farmer,149.9
3,1,Bud Lathrop Drive,Farmer,149.9,0,Bench Don't Kill My Vibe,Padge,190.0
4,1,Springfield Atoms,Duvi,147.1,0,Pixel Whippers,Sembower,164.8
5,1,Pixel Whippers,Sembower,164.8,1,Springfield Atoms,Duvi,147.1
6,1,Seattle rainier riot,Boob,159.4,0,Beacon Hill Posterizers,Bup,172.6
7,1,Beacon Hill Posterizers,Bup,172.6,1,Seattle rainier riot,Boob,159.4
8,1,Brookside Shokunin,Cheese,163.3,0,CoMo FightinCamlToes,Doisy,172.6
9,1,CoMo FightinCamlToes,Doisy,172.6,1,Brookside Shokunin,Cheese,163.3
10,2,Springfield Atoms,Duvi,154.5,1,Bench Don't Kill My Vibe,Padge,142.4
11,2,Bench Don't Kill My Vibe,Padge,142.4,0,Springfield Atoms,Duvi,154.5
12,2,Happy Rock Homewreckers,Blainer,122.1,0,Seattle rainier riot,Boob,218.3
13,2,Seattle rainier riot,Boob,218.3,1,Happy Rock Homewreckers,Blainer,122.1
14,2,Sticky Icky,T-$,187.1,0,Brookside Shokunin,Cheese,193.6
15,2,Brookside Shokunin,Cheese,193.6,1,Sticky Icky,T-$,187.1
16,2,Bud Lathrop Drive,Farmer,129.2,0,Beacon Hill Posterizers,Bup,191.7
17,2,Beacon Hill Posterizers,Bup,191.7,1,Bud Lathrop Drive,Farmer,129.2
18,2,Pixel Whippers,Sembower,167.3,1,CoMo FightinCamlToes,Doisy,157.4
19,2,CoMo FightinCamlToes,Doisy,157.4,0,Pixel Whippers,Sembower,167.3
20,3,Brookside Shokunin,Cheese,199.4,1,Seattle rainier riot,Boob,187.8
21,3,Seattle rainier riot,Boob,187.8,0,Brookside Shokunin,Cheese,199.4
22,3,Beacon Hill Posterizers,Bup,174.1,1,Bench Don't Kill My Vibe,Padge,169.4
23,3,Bench Don't Kill My Vibe,Padge,169.4,0,Beacon Hill Posterizers,Bup,174.1
24,3,CoMo FightinCamlToes,Doisy,175.1,1,Springfield Atoms,Duvi,133.6
25,3,Springfield Atoms,Duvi,133.6,0,CoMo FightinCamlToes,Doisy,175.1
26,3,Bud Lathrop Drive,Farmer,185.9,1,Happy Rock Homewreckers,Blainer,107.0
27,3,Happy Rock Homewreckers,Blainer,107.0,0,Bud Lathrop Drive,Farmer,185.9
28,3,Pixel Whippers,Sembower,204.5,1,Sticky Icky,T-$,144.4
29,3,Sticky Icky,T-$,144.4,0,Pixel Whippers,Sembower,204.5
30,4,CoMo FightinCamlToes,Doisy,122.9,0,Beacon Hill Posterizers,Bup,159.4
31,4,Beacon Hill Posterizers,Bup,159.4,1,CoMo FightinCamlToes,Doisy,122.9
32,4,Seattle rainier riot,Boob,195.8,1,Bud Lathrop Drive,Farmer,158.0
33,4,Bud Lathrop Drive,Farmer,158.0,0,Seattle rainier riot,Boob,195.8
34,4,Brookside Shokunin,Cheese,185.2,1,Pixel Whippers,Sembower,156.6
35,4,Pixel Whippers,Sembower,156.6,0,Brookside Shokunin,Cheese,185.2
36,4,Bench Don't Kill My Vibe,Padge,128.3,0,Happy Rock Homewreckers,Blainer,188.6
37,4,Happy Rock Homewreckers,Blainer,188.6,1,Bench Don't Kill My Vibe,Padge,128.3
38,4,Springfield Atoms,Duvi,160.0,1,Sticky Icky,T-$,140.6
39,4,Sticky Icky,T-$,140.6,0,Springfield Atoms,Duvi,160.0
40,5,Pixel Whippers,Sembower,152.6,0,Bud Lathrop Drive,Farmer,171.8
41,5,Bud Lathrop Drive,Farmer,171.8,1,Pixel Whippers,Sembower,152.6
