owner_team_name,wins,losses,points_for,points_against
Beacon Hill Posterizers,10,4,2583.6,2445.7999999999997
Bench Don't Kill My Vibe,4,10,2309.8999999999996,2615.3999999999996
Brookside Shokunin,7,7,2516.1,2448.9000000000005
Bud Lathrop Drive,6,8,2417.6,2547.3
CoMo FightinCamlToes,7,7,2398.7000000000003,2347.1000000000004
Happy Rock Homewreckers,6,8,2456.7999999999997,2627.7999999999997
Pixel Whippers,6,8,2646.5,2679.0
Seattle rainier riot,8,6,2586.3,2421.2000000000003
Springfield Atoms,6,8,2428.9,2526.4
Sticky Icky,10,4,2746.3,2431.8
